BoroName,BoroCode,500-2500g births,total births,weight gain,percentage
Bronx,2,1130,8816,less than 11,12.81760436
Bronx,2,2480,22319,11 to 20,11.11160894
Bronx,2,2955,36531,21 to 30,8.089020284
Bronx,2,1276,21627,31 to 40,5.900032367
Brooklyn,3,1382,13271,less than 11,10.41368397
Brooklyn,3,3337,38366,11 to 20,8.697805348
Brooklyn,3,4119,70192,21 to 30,5.868190107
Brooklyn,3,2313,52165,31 to 40,4.434007476
Manhattan,1,594,4411,less than 11,13.46633416
Manhattan,1,1311,12509,11 to 20,10.48045407
Manhattan,1,1906,32693,21 to 30,5.829994188
Manhattan,1,1001,23661,31 to 40,4.230590423
Queens,4,1588,12236,less than 11,12.97809742
Queens,4,3011,28995,11 to 20,10.38454906
Queens,4,3224,49388,21 to 30,6.527901515
Queens,4,1786,36420,31 to 40,4.903898957
Staten Island,5,188,1759,less than 11,10.68789085
Staten Island,5,435,4851,11 to 20,8.967223253
Staten Island,5,500,8259,21 to 30,6.054001695
Staten Island,5,318,7095,31 to 40,4.482029598