BoroName,BoroCode,race,500-2500g births,less than 11,11 to 20,21 to 30,31 to 40
Bronx,2,Asian,571,71,180,224,77
Bronx,2,Black or African American,2075,442,864,1045,452
Bronx,2,White,480,49,142,173,68
Bronx,2,Hispanic,4547,568,1294,1513,679
Brooklyn,3,Asian,1864,192,556,693,306
Brooklyn,3,Black or African American,4525,560,1070,1397,1040
Brooklyn,3,White,3632,297,1068,1412,593
Brooklyn,3,Hispanic,2186,333,643,617,374
Manhattan,1,Asian,804,66,196,351,150
Manhattan,1,Black or African American,1030,184,296,295,153
Manhattan,1,White,1872,117,420,754,443
Manhattan,1,Hispanic,1539,227,399,506,255
Staten Island,5,Asian,206,17,63,74,36
Staten Island,5,Black or African American,343,48,91,98,61
Staten Island,5,White,658,62,159,200,139
Staten Island,5,Hispanic,441,61,122,128,82
Queens,4,Asian,3802,542,1104,1274,653
Queens,4,Black or African American,2446,424,702,647,397
Queens,4,White,1465,152,363,513,300
Queens,4,Hispanic,2787,470,842,790,436